State,Duration,StartTime,EndTime
²L¯v,3.0 ,2024/5/29 02:52,2024/5/29 02:55
²L¯v,8.0 ,2024/5/29 02:55,2024/5/29 03:03
²L¯v,6.0 ,2024/5/29 03:03,2024/5/29 03:09
²L¯v,8.0 ,2024/5/29 03:09,2024/5/29 03:17
²`¯v,24.0 ,2024/5/29 03:17,2024/5/29 03:41
²L¯v,12.0 ,2024/5/29 03:41,2024/5/29 03:53
²L¯v,10.0 ,2024/5/29 03:53,2024/5/29 04:03
²L¯v,38.0 ,2024/5/29 04:03,2024/5/29 04:41
²`¯v,67.0 ,2024/5/29 04:41,2024/5/29 05:48
²L¯v,43.0 ,2024/5/29 05:48,2024/5/29 06:31
²`¯v,36.0 ,2024/5/29 06:31,2024/5/29 07:07
²L¯v,8.0 ,2024/5/29 07:07,2024/5/29 07:15
²L¯v,1.0 ,2024/5/29 07:15,2024/5/29 07:16
²L¯v,60.0 ,2024/5/29 07:16,2024/5/29 08:16
²L¯v,14.0 ,2024/5/29 08:16,2024/5/29 08:30
¿ô,19.0 ,2024/5/29 08:30,2024/5/29 08:49
²L¯v,24.0 ,2024/5/29 08:49,2024/5/29 09:13
¿ô,735.0 ,2024/5/29 09:13,2024/5/29 21:28
¿ô,9.0 ,2024/5/29 21:28,2024/5/29 21:37
¿ô,5.0 ,2024/5/29 21:37,2024/5/29 21:42
¿ô,11.0 ,2024/5/29 21:42,2024/5/29 21:53
¿ô,7.0 ,2024/5/29 21:53,2024/5/29 22:00
¿ô,220.0 ,2024/5/29 22:00,2024/5/30 01:40
²L¯v,8.0 ,2024/5/30 01:40,2024/5/30 01:48
²L¯v,13.0 ,2024/5/30 01:48,2024/5/30 02:01
²L¯v,8.0 ,2024/5/30 02:01,2024/5/30 02:09
²L¯v,4.0 ,2024/5/30 02:09,2024/5/30 02:13
²L¯v,16.0 ,2024/5/30 02:13,2024/5/30 02:29
²`¯v,41.0 ,2024/5/30 02:29,2024/5/30 03:10
²L¯v,8.0 ,2024/5/30 03:10,2024/5/30 03:18
²L¯v,12.0 ,2024/5/30 03:18,2024/5/30 03:30
²L¯v,14.0 ,2024/5/30 03:30,2024/5/30 03:44
²L¯v,19.0 ,2024/5/30 03:44,2024/5/30 04:03
²L¯v,10.0 ,2024/5/30 04:03,2024/5/30 04:13
